Time_Stamp;Ax;Ay;Az;Gx;Gy;Gz;Mx;My;Mz;Activity_Label
1,3644E+12;2,0158114;6,101916;4,739881;-1,0241156;-0,5195409;-0,6942484;-25,56;-29,22;-14,34;?
1,3644E+12;2,2473574;6,4832854;4,5628166;-0,85062987;-0,4156938;-0,84788096;-25,859999;-28,98;-14,34;?
1,3644E+12;2,1247742;7,000859;4,276789;-0,5699373;-0,39736784;-1,0894781;-26,16;-28,619999;-14,46;?
1,3644E+12;1,8932283;7,2596455;4,167826;-0,4007276;-0,5558874;-1,2305881;-26,16;-28,5;-14,7;?
1,3644E+12;1,7570249;7,6137743;3,800077;-0,21930063;-0,8219192;-1,3680327;-26,16;-28,32;-14,94;?
1,3644E+12;1,7297841;8,580819;2,9283748;0,002138028;-1,146594;-1,5464053;-26,099998;-28,199999;-15,24;?
1,3644E+12;2,2882185;9,180115;2,669588;0,24465153;-1,3997977;-1,7767016;-26,039999;-28,199999;-15,24;?
1,3644E+12;2,7785509;9,901993;2,2473574;0,49846604;-1,5048665;-2,0167716;-25,74;-28,26;-15,36;?
1,3644E+12;3,2961242;11,250407;1,8387469;0,83169305;-1,5482379;-2,2666154;-25,32;-28,56;-15,36;?
1,3644E+12;3,1190596;13,429663;1,4709976;1,1472049;-1,643533;-2,5421157;-24,359999;-29,279999;-15,599999;?
1,3644E+12;2,9964764;12,6669235;1,8932283;1,3561208;-2,176513;-2,5940392;-23,76;-29,82;-15,299999;?
1,3644E+12;3,2007818;11,863323;2,2473574;1,536326;-2,3225098;-2,483778;-23,279999;-30,359999;-15,12;?
1,3644E+12;3,2007818;11,863323;2,2473574;1,7971655;-1,7742581;-2,3313673;-23,279999;-30,359999;-15,12;?
1,3644E+12;3,2007818;11,863323;2,2473574;2,0555615;-0,7443393;-2,1743748;-23,279999;-30,359999;-15,12;?
1,3644E+12;3,0373375;11,74074;2,4789033;2,2498167;0,5503896;-1,8762726;-21,42;-31,98;-14,28;?
1,3644E+12;1,7570249;11,727119;2,506144;2,2256875;0,7263188;-1,7614299;-20,34;-32,88;-13,679999;?
1,3644E+12;0,7354988;11,563675;2,7240696;2,0073032;0,3885103;-1,4743233;-18,18;-34,62;-12,36;?
1,3644E+12;0,013620348;10,923519;3,1871614;1,8216002;-0,3472769;-1,3451253;-15,78;-36,54;-10,559999;?
1,3644E+12;0,16344418;10,56939;3,568531;1,5418239;-1,0528263;-1,2962561;-14,58;-37,5;-9,48;?
1,3644E+12;0,6810174;9,39804;4,167826;1,29198;-1,4709635;-1,29198;-12,12;-39,18;-7,3799996;?
1,3644E+12;1,2803127;7,504812;4,344891;1,0528263;-1,7085901;-1,1746938;-9,599999;-40,739998;-5,04;?
1,3644E+12;1,9749504;6,197258;4,576437;0,8008443;-1,7391334;-0,94134337;-7,3799996;-42,12;-2,6399999;?
1,3644E+12;2,3971813;5,802268;4,7535014;0,72021013;-1,3741413;-0,8732319;-5,1;-43,02;-0,53999996;?
1,3644E+12;2,383561;6,1563973;4,7262607;0,6783658;-0,8912524;-0,8414669;-3,72;-43,5;1,38;?
1,3644E+12;2,2064962;6,851035;4,508335;0,6123924;-0,49693888;-0,81031275;-2,3999999;-43,68;3;?
1,3644E+12;2,070293;7,3413672;4,0861044;0,5174029;-0,32436943;-0,7367035;-1,5;-43,62;4,2599998;?
1,3644E+12;2,002191;8,185829;3,6638734;0,453262;-0,38240165;-0,6105598;-0,53999996;-43,44;5,2799997;?
1,3644E+12;2,4925237;9,193735;3,3778462;0,46273044;-0,42455134;-0,5128214;0,35999998;-43,44;6,24;?
1,3644E+12;3,255263;9,833891;3,6230125;0,5748242;-0,012522738;-0,36163223;0,71999997;-43,44;6,48;?
1,3644E+12;3,8954194;10,446807;4,3585114;0,6243043;0,23273966;-0,3210097;1,4399999;-43,379997;7,14;?
1,3644E+12;3,92266;10,269742;4,944186;0,6072;1,0754282;-0,10262536;1,68;-43,2;7,3799996;?
1,3644E+12;2,6423476;8,253931;4,630918;0,4550946;1,5537357;0,1328632;2,04;-43,26;7,68;?
