@relation activity

@attribute Ax real
@attribute Ay real
@attribute Az real
@attribute Gx real
@attribute Gy real
@attribute Gz real
@attribute Mx real
@attribute My real
@attribute Mz real
@attribute activity {Downstairs,Running,Sitting,Standing,Upstairs,Walking}

@data
10.528529,0.027240695,-2.0430522,-1.559539,-0.9095783,0.93523467,-839.33997,161.64,-238.56,?
10.20164,0.25878662,-2.2473574,-1.4114041,-0.441961,0.9282097,-843.12,161.81999,-240.9,?
9.384419,0.32688835,-2.2745981,-1.4126259,-0.26175576,0.96974856,-847.44,162.3,-243.48,?
8.825985,-0.32688835,-1.7570249,-1.475545,-0.25870144,0.9239337,-851.39996,162.78,-245.64,?
8.60806,-0.5720546,-1.4028958,-1.3610078,-0.23976462,0.8005389,-852.48,162.84,-246.23999,?
8.553578,-0.3949901,-0.9670447,-1.0885619,-0.2761111,0.62796944,-851.63995,162.48,-246.29999,?
8.417375,0.095342435,-1.1713499,-0.77671516,-0.43310347,0.43493605,-848.39996,162.06,-244.68,?
8.417375,0.5720546,-1.5935807,-0.5919284,-0.44715336,0.19364429,-844.38,161.4,-242.64,?
8.539958,0.7082581,-1.4028958,-0.6453791,-0.73914695,0.070249505,-842.39996,161.09999,-241.56,?
9.820271,0.7082581,-1.5527196,-0.83260936,-1.0998629,0.038179077,-839.16,160.56,-239.58,?
10.978001,0.92618364,-1.7706453,-1.0421361,-1.0772609,0.15302174,-836.94,160.14,-238.14,?
11.277648,1.0760075,-2.383561,-1.1475104,-0.54092115,0.31856623,-836.22,159.72,-237.29999,?
10.841797,1.5799603,-2.2745981,-1.1026118,0.056505036,0.3555236,-835.07996,159.42,-237.06,?
10.365085,1.1577295,-1.0079057,-1.0858129,-0.09132435,0.2938262,-834.83997,159.18,-237.0,?
11.590916,-1.3756552,-5.1893525,-1.3487904,-0.5870415,0.18784106,-833.76,158.94,-236.76,?
13.68845,-1.484618,-5.87037,-1.2305881,-1.0097603,0.25595254,-833.45996,158.58,-236.87999,?
15.894946,-1.0215261,-4.862464,0.77396625,-1.3353515,0.59528816,-833.45996,158.34,-237.12,?
15.023244,0.92618364,-6.0610547,0.9941832,0.43096542,1.1010846,-833.45996,158.4,-237.12,?
7.409469,0.12258313,-4.9169455,-0.54000485,1.999362,0.9502009,-830.39996,158.22,-235.79999,?
5.1212506,1.6480621,-4.630918,-0.18417588,3.59708,0.0888809,-826.56,157.8,-233.93999,?
5.829509,2.547005,-4.3176503,0.99204516,2.1050417,-0.59773165,-825.72,157.44,-233.51999,?
9.684067,2.7785509,-2.0430522,2.6731462,-0.18692477,-1.2299771,-828.83997,157.68,-235.43999,?

