@relation activity

@attribute Ax numeric
@attribute Ay numeric
@attribute Az numeric
@attribute Gx numeric
@attribute Gy numeric
@attribute Gz numeric
@attribute Mx numeric
@attribute My numeric
@attribute Mz numeric
@attribute activity {Downstairs,Running,Sitting,Standing,Upstairs,Walking}

@data
10.528529,0.027241,-2.043052,-1.559539,-0.909578,0.935235,-839.33997,161.64,-238.56,Downstairs
10.20164,0.258787,-2.247357,-1.411404,-0.441961,0.92821,-843.12,161.81999,-240.9,Downstairs
9.384419,0.326888,-2.274598,-1.412626,-0.261756,0.969749,-847.44,162.3,-243.48,Downstairs
8.825985,-0.326888,-1.757025,-1.475545,-0.258701,0.923934,-851.39996,162.78,-245.64,Downstairs
8.60806,-0.572055,-1.402896,-1.361008,-0.239765,0.800539,-852.48,162.84,-246.23999,Downstairs
8.553578,-0.39499,-0.967045,-1.088562,-0.276111,0.627969,-851.63995,162.48,-246.29999,Downstairs
8.417375,0.095342,-1.17135,-0.776715,-0.433103,0.434936,-848.39996,162.06,-244.68,Downstairs
8.417375,0.572055,-1.593581,-0.591928,-0.447153,0.193644,-844.38,161.4,-242.64,Downstairs
8.539958,0.708258,-1.402896,-0.645379,-0.739147,0.07025,-842.39996,161.09999,-241.56,Downstairs
9.820271,0.708258,-1.55272,-0.832609,-1.099863,0.038179,-839.16,160.56,-239.58,Downstairs
10.978001,0.926184,-1.770645,-1.042136,-1.077261,0.153022,-836.94,160.14,-238.14,Downstairs
11.277648,1.076008,-2.383561,-1.14751,-0.540921,0.318566,-836.22,159.72,-237.29999,Downstairs
10.841797,1.57996,-2.274598,-1.102612,0.056505,0.355524,-835.07996,159.42,-237.06,Downstairs
10.365085,1.15773,-1.007906,-1.085813,-0.091324,0.293826,-834.83997,159.18,-237,Downstairs
11.590916,-1.375655,-5.189353,-1.34879,-0.587041,0.187841,-833.76,158.94,-236.76,Downstairs
13.68845,-1.484618,-5.87037,-1.230588,-1.00976,0.255953,-833.45996,158.58,-236.87999,Downstairs
15.894946,-1.021526,-4.862464,0.773966,-1.335352,0.595288,-833.45996,158.34,-237.12,Downstairs
15.023244,0.926184,-6.061055,0.994183,0.430965,1.101085,-833.45996,158.4,-237.12,Downstairs
7.409469,0.122583,-4.916945,-0.540005,1.999362,0.950201,-830.39996,158.22,-235.79999,Downstairs
5.121251,1.648062,-4.630918,-0.184176,3.59708,0.088881,-826.56,157.8,-233.93999,Downstairs
5.829509,2.547005,-4.31765,0.992045,2.105042,-0.597732,-825.72,157.44,-233.51999,Downstairs
9.684067,2.778551,-2.043052,2.673146,-0.186925,-1.229977,-828.83997,157.68,-235.43999,Downstairs
