Igor;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartphone;100.0 %;98.77675840978594 %;99.38837920489296 %;99.69418960244649 %;94.4954128440367 %;100.0 %;
Correr/Smartphone;93.79084967320262 %;100.0 %;100.0 %;98.69281045751634 %;90.19607843137256 %;97.7124183006536 %;
Geane;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartphone;99.54233409610984 %;100.0 %;97.25400457665904 %;100.0 %;100.0 %;100.0 %;
Correr/Smartphone;91.16719242902208 %;99.05362776025235 %;86.75078864353313 %;94.95268138801262 %;95.26813880126183 %;97.16088328075709 %;
Antonio;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartphone;94.51219512195121 %;97.86585365853658 %;98.47560975609755 %;97.86585365853658 %;98.78048780487805 %;97.86585365853658 %;
Correr/Smartphone;94.88817891373802 %;98.7220447284345 %;98.08306709265176 %;97.44408945686901 %;72.84345047923323 %;97.76357827476039 %;
Petala;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartphone;91.5068493150685 %;99.45205479452055 %;0.0 %;96.16438356164385 %;100.0 %;98.63013698630137 %;
Correr/Smartphone;96.4968152866242 %;95.54140127388536 %;94.90445859872611 %;93.63057324840764 %;95.54140127388536 %;97.13375796178345 %;
Igor;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartwatch;85.58558558558559 %;100.0 %;96.09609609609609 %;100.0 %;92.7927927927928 %;99.69969969969969 %;
Correr/Smartwatch;93.37748344370861 %;97.35099337748345 %;88.41059602649007 %;98.01324503311258 %;94.03973509933775 %;95.36423841059603 %;
Geane;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartwatch;93.80281690140845 %;98.30985915492958 %;80.0 %;98.59154929577466 %;83.94366197183099 %;89.5774647887324 %;
Correr/Smartwatch;96.73590504451039 %;99.40652818991099 %;98.81305637982196 %;97.92284866468842 %;98.21958456973294 %;98.21958456973294 %;
Antonio;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartwatch;91.0958904109589 %;96.91780821917808 %;96.57534246575342 %;98.63013698630137 %;88.6986301369863 %;93.83561643835617 %;
Correr/Smartwatch;98.65771812080537 %;98.3221476510067 %;96.64429530201343 %;97.6510067114094 %;96.30872483221476 %;98.3221476510067 %;
Petala;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartwatch;99.04458598726114 %;100.0 %;100.0 %;100.0 %;100.0 %;100.0 %;
Correr/Smartwatch;97.52650176678446 %;97.52650176678446 %;91.87279151943463 %;98.93992932862191 %;92.226148409894 %;99.64664310954063 %;
