Igor;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartphone;93.68324687213915 %;85.93225511138236 %;100.0 %;95.39212694537686 %;92.4321025328044 %;91.02837961550199 %;
Correr/Smartphone;52.806788511749346 %;59.46475195822454 %;0.0 %;49.64099216710183 %;43.89686684073107 %;56.49477806788512 %;
Geane;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartphone;97.48283752860412 %;89.47368421052632 %;100.0 %;97.25400457665904 %;90.16018306636155 %;94.96567505720824 %;
Correr/Smartphone;73.81703470031546 %;82.96529968454259 %;0.0 %;75.39432176656152 %;54.889589905362776 %;81.70347003154575 %;
Antonio;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartphone;96.03658536585365 %;85.67073170731707 %;100.0 %;97.86585365853658 %;90.54878048780488 %;92.98780487804879 %;
Correr/Smartphone;41.97852261633583 %;48.421737715587376 %;0.0 %;37.26000650829808 %;38.33387569150667 %;46.30654083957045 %;
Petala;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartphone;96.60377358490567 %;80.37735849056604 %;100.0 %;98.11320754716981 %;99.24528301886792 %;91.13207547169812 %;
Correr/Smartphone;78.343949044586 %;82.80254777070064 %;0.0 %;78.02547770700637 %;67.51592356687898 %;82.80254777070064 %;
Igor;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartwatch;96.996996996997 %;91.8918918918919 %;93.09309309309309 %;98.49849849849849 %;98.49849849849849 %;96.3963963963964 %;
Correr/Smartwatch;77.15231788079471 %;82.78145695364239 %;30.79470198675497 %;80.13245033112582 %;48.675496688741724 %;81.12582781456953 %;
Geane;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartwatch;94.36619718309859 %;91.54929577464789 %;81.12676056338029 %;98.30985915492958 %;95.77464788732394 %;97.46478873239437 %;
Correr/Smartwatch;69.13946587537092 %;79.22848664688428 %;50.14836795252226 %;71.81008902077151 %;81.30563798219585 %;78.93175074183976 %;
Antonio;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartwatch;75.68493150684932 %;67.12328767123287 %;77.05479452054794 %;63.013698630136986 %;47.26027397260274 %;69.17808219178082 %;
Correr/Smartwatch;74.16107382550335 %;76.1744966442953 %;29.86577181208054 %;75.16778523489933 %;49.664429530201346 %;77.85234899328859 %;
Petala;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartwatch;97.17868338557993 %;92.16300940438872 %;88.71473354231975 %;98.43260188087774 %;95.61128526645768 %;97.80564263322884 %;
Correr/Smartwatch;78.4452296819788 %;80.91872791519434 %;36.74911660777385 %;83.3922261484099 %;74.55830388692578 %;83.3922261484099 %;
