Igor;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartphone;100.0 %;100.0 %;96.3302752293578 %;100.0 %;100.0 %;100.0 %;
Correr/Smartphone;98.69281045751634 %;99.34640522875817 %;100.0 %;99.34640522875817 %;97.38562091503267 %;98.36601307189542 %;
Geane;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartphone;99.54337899543378 %;100.0 %;97.94520547945206 %;99.08675799086758 %;100.0 %;99.54337899543378 %;
Correr/Smartphone;89.90536277602523 %;91.48264984227129 %;98.10725552050474 %;92.42902208201893 %;69.08517350157729 %;95.89905362776025 %;
Antonio;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartphone;93.00911854103343 %;92.09726443768997 %;98.78419452887537 %;98.17629179331307 %;99.08814589665653 %;94.22492401215806 %;
Correr/Smartphone;96.1661341853035 %;97.76357827476039 %;100.0 %;98.08306709265176 %;96.1661341853035 %;98.08306709265176 %;
Petala;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartphone;86.02739726027397 %;66.3013698630137 %;0.0 %;89.31506849315069 %;100.0 %;97.26027397260275 %;
Correr/Smartphone;94.6031746031746 %;91.74603174603175 %;100.0 %;83.80952380952381 %;84.12698412698413 %;94.92063492063491 %;
Igor;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartwatch;99.3993993993994 %;98.7987987987988 %;95.4954954954955 %;95.7957957957958 %;94.8948948948949 %;99.09909909909909 %;
Correr/Smartwatch;95.03311258278146 %;98.01324503311258 %;84.43708609271523 %;86.75496688741721 %;95.36423841059603 %;97.35099337748345 %;
Geane;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartwatch;99.43661971830986 %;97.1830985915493 %;86.76056338028168 %;99.43661971830986 %;49.57746478873239 %;99.43661971830986 %;
Correr/Smartwatch;98.21958456973294 %;99.10979228486647 %;98.21958456973294 %;100.0 %;98.21958456973294 %;99.10979228486647 %;
Antonio;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartwatch;93.16770186335404 %;97.20496894409938 %;99.37888198757764 %;100.0 %;98.75776397515527 %;96.8944099378882 %;
Correr/Smartwatch;96.95121951219512 %;93.59756097560977 %;91.46341463414635 %;95.73170731707317 %;91.76829268292683 %;93.90243902439023 %;
Petala;J48;KNN;SVM;MLP;NAIVE BAYES (NB);RANDOM FORREST
Andar/Smartwatch;97.13375796178345 %;99.04458598726114 %;98.40764331210191 %;98.72611464968153 %;70.70063694267516 %;99.68152866242038 %;
Correr/Smartwatch;100.0 %;97.76357827476039 %;84.66453674121406 %;80.83067092651757 %;92.33226837060703 %;99.68051118210862 %;
